Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Activity,Age,Disability status,Education level,Location,Migratory status,Nature,Observation Status,Quantile,Reporting Type,Sex,Type of occupation,Type of product,Units
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2012,4.60648,2012,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2013,4.15143,2013,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2014,3.63907,2014,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2015,3.55506,2015,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2016,3.75884,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2017,3.8412,2017,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2018,3.98782,2018,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2019,3.87144,2019,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2020,-3.10714,2020,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2012,1.43427,2012,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2013,2.09205,2013,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2014,0.41011,2014,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2015,1.70625,2015,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2016,0.92879,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2017,1.8831,2017,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2018,0.79644,2018,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2019,0.54054,2019,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,CA,,,G,,,,PERCENT
